"#{""t_start"": 1543729345.3484435"," ""env_id"": ""BaxterReachEnv-v11""}",
r,l,t
-164.777166,100,1512.95794
-128.773373,100,1515.379548
-132.808021,100,1517.696277
-132.017891,100,1520.002935
-150.009656,100,1522.110664
-134.292996,100,1524.425495
-127.615655,100,1526.900703
-133.959254,100,1529.245327
-135.423076,100,1531.493944
-139.704805,100,1533.815595
-139.007219,100,1536.301345
-131.870746,100,1538.607598
-133.048995,100,1540.925466
-138.696392,100,1543.141923
-140.901948,100,1545.42807
-119.55624,100,1547.959927
-136.088718,100,1550.310587
-128.739457,100,1552.701682
-94.080604,100,1555.058547
-124.008969,100,1557.501605
-107.673705,100,1559.718897
-136.899946,100,1561.928396
-136.767301,100,1564.190202
-136.596137,100,1566.479987
-132.318146,100,1568.844796
-154.315553,100,1570.973755
-125.205737,100,1573.203253
-129.791774,100,1575.606999
-130.132368,100,1578.093966
-129.103253,100,1580.358489
-123.986217,100,1582.82415
-112.079576,100,1585.075853
-134.742303,100,1587.310502
-137.243527,100,1589.608571
-139.35788,100,1591.906909
-132.651443,100,1594.406399
-136.398306,100,1596.785937
-140.379958,100,1599.160182
-129.342508,100,1601.475161
-134.865596,100,1603.740874
-135.976995,100,1606.051266
-133.103157,100,1608.392284
-141.840345,100,1610.833091
-143.439874,100,1613.141328
-136.803617,100,1615.535955
-138.992332,100,1617.904679
-139.459379,100,1620.356011
-134.464021,100,1622.689568
-135.345725,100,1624.993783
-132.686606,100,1627.327202
-136.693385,100,1629.748764
-139.743132,100,1632.166295
-99.258645,100,1634.468495
-143.739299,100,1636.794358
-95.319019,100,1639.089876
-140.554411,100,1641.400836
-151.338735,100,1643.562857
-136.919223,100,1645.99269
-137.736562,100,1648.462535
-135.740385,100,1650.764022
-109.57879,100,1653.073733
-145.683317,100,1655.074773
-137.973394,100,1657.34373
-139.117586,100,1659.643045
-143.221098,100,1661.86942
-141.79895,100,1664.169904
-138.179347,100,1666.608458
-147.317563,100,1669.004423
-142.424612,100,1671.271321
-133.446418,100,1673.419826
-143.202467,100,1675.814137
-138.951089,100,1678.21777
-162.023744,100,1680.262856
-163.85778,100,1682.224679
-92.198482,100,1684.368322
-162.281934,100,1686.465965
-146.098985,100,1688.661804
-145.237748,100,1690.950857
-136.229395,100,1693.311622
-139.836125,100,1695.623614
-140.723947,100,1698.006639
-99.9045,100,1700.3415
-138.614597,100,1702.624245
-138.365205,100,1705.095566
-87.302883,100,1707.353405
-142.902839,100,1709.656111
-140.901284,100,1711.905164
-139.52753,100,1714.18944
-136.187406,100,1716.577602
-117.327988,100,1718.661335
-144.102908,100,1720.835963
-140.508521,100,1723.068686
-144.373432,100,1725.458177
-142.753124,100,1727.792055
-137.831995,100,1730.126942
-145.296952,100,1732.434746
-147.127194,100,1734.736445
-138.298313,100,1737.137691
-142.132194,100,1739.421588
-140.628519,100,1741.638509
-92.590717,100,1744.027431
-77.973098,100,1746.453735
-137.854824,100,1748.815551
-150.982875,100,1750.995077
-149.21134,100,1753.455886
-146.102433,100,1755.745453
-146.313184,100,1757.960309
-142.538184,100,1760.351463
-150.136574,100,1762.547633
-147.495971,100,1764.780197
-146.605443,100,1767.121502
-143.690605,100,1769.245573
-145.569807,100,1771.699188
-140.045572,100,1774.000659
-143.298859,100,1776.37909
-100.489657,100,1778.573519
-150.573279,100,1780.656353
-144.914966,100,1782.856779
-144.264786,100,1785.043711
-141.859727,100,1787.35014
-136.431944,100,1789.829418
-143.32721,100,1791.996423
-142.302284,100,1794.444175
-145.909183,100,1796.837534
-138.556416,100,1799.252645
-143.215813,100,1801.659723
-145.272253,100,1803.952786
-146.222986,100,1806.095461
-127.292772,100,1808.220356
